state_label,soc,temperature_c,v_rc,raw_action,requested_current_a,safe_ceiling_a,applied_current_a,ceiling_active,intervention,next_soc,next_temp_c,q_gen_w,reward
low_soc_low_temp,0.15,20.0,0.0,-1.0,0.0,160.0,0.0,False,none,0.15,20.0009,0.0,-0.05
low_soc_low_temp,0.15,20.0,0.0,-0.5,40.0,160.0,40.0,False,none,0.150092,20.0011,54.4,0.041827
low_soc_low_temp,0.15,20.0,0.0,0.0,80.0,160.0,80.0,False,none,0.150184,20.0017,217.6,0.133655
low_soc_low_temp,0.15,20.0,0.0,0.5,120.0,160.0,120.0,False,none,0.150275,20.0027,489.6,0.225482
low_soc_low_temp,0.15,20.0,0.0,1.0,160.0,160.0,160.0,False,none,0.150367,20.0041,870.4,0.317309
low_soc_mid_temp,0.15,30.0,0.5,-1.0,0.0,160.0,0.0,False,none,0.15,29.9991,20.0,-0.05
low_soc_mid_temp,0.15,30.0,0.5,-0.5,40.0,160.0,40.0,False,none,0.150092,29.9993,74.4,0.041827
low_soc_mid_temp,0.15,30.0,0.5,0.0,80.0,160.0,80.0,False,none,0.150184,30.0,237.6,0.133655
low_soc_mid_temp,0.15,30.0,0.5,0.5,120.0,160.0,120.0,False,none,0.150275,30.001,509.6,0.225482
low_soc_mid_temp,0.15,30.0,0.5,1.0,160.0,160.0,160.0,False,none,0.150367,30.0024,890.4,0.317309
mid_soc_low_temp,0.5,20.0,1.0,-1.0,0.0,160.0,0.0,False,none,0.5,20.0012,80.0,-0.05
mid_soc_low_temp,0.5,20.0,1.0,-0.5,40.0,160.0,40.0,False,none,0.500092,20.0014,134.4,0.041827
mid_soc_low_temp,0.5,20.0,1.0,0.0,80.0,160.0,80.0,False,none,0.500184,20.002,297.6,0.133655
mid_soc_low_temp,0.5,20.0,1.0,0.5,120.0,160.0,120.0,False,none,0.500275,20.003,569.6,0.225482
mid_soc_low_temp,0.5,20.0,1.0,1.0,160.0,160.0,160.0,False,none,0.500367,20.0044,950.4,0.317309
mid_soc_mid_temp,0.5,30.0,1.5,-1.0,0.0,160.0,0.0,False,none,0.5,29.9997,180.0,-0.05
mid_soc_mid_temp,0.5,30.0,1.5,-0.5,40.0,160.0,40.0,False,none,0.500092,29.9999,234.4,0.041827
