temperature_c,current_a,total_reward,marginal_vs_160a,is_optimal_at_this_temp
25.0,40.0,0.041827,-0.275482,False
25.0,80.0,0.133655,-0.183655,False
25.0,120.0,0.225482,-0.091827,False
25.0,160.0,0.317309,0.0,True
35.0,40.0,0.040694,-0.258428,False
35.0,80.0,0.129119,-0.170004,False
35.0,120.0,0.215266,-0.083856,False
35.0,160.0,0.299122,0.0,True
40.0,40.0,0.027937,-0.066933,False
40.0,80.0,0.078083,-0.016786,False
40.0,120.0,0.10041,0.00554,True
40.0,160.0,0.09487,0.0,False
42.0,40.0,-0.081128,0.069089,False
42.0,80.0,-0.058178,0.092039,True
42.0,120.0,-0.081187,0.06903,False
42.0,160.0,-0.150217,0.0,False
45.0,40.0,-0.248973,0.336855,True
45.0,80.0,-0.279564,0.306264,False
45.0,120.0,-0.391822,0.194007,False
45.0,160.0,-0.585828,0.0,False
48.0,40.0,-0.421917,0.681101,True
48.0,80.0,-0.521345,0.581673,False
48.0,120.0,-0.748344,0.354674,False
48.0,160.0,-1.103018,0.0,False
