candidate,temperature_c,current_a,total_reward,progress_reward,thermal_penalty,time_penalty,smoothness_penalty,safety_penalty
ExpC_Baseline,33.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,33.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,33.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,34.0,120.0,-0.052549361836843514,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,34.0,140.0,-0.05346994968008532,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,34.0,160.0,-0.05453216642228739,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,35.0,120.0,-0.06019744734737403,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,35.0,140.0,-0.06387979872034125,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,35.0,160.0,-0.06812866568914956,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,36.0,120.0,-0.07294425653159158,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,36.0,140.0,-0.0812295471207678,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,36.0,160.0,-0.09078949780058651,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,38.0,120.0,-0.1137340459210877,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,38.0,140.0,-0.13674874200213277,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,38.0,160.0,-0.16330416055718475,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,40.0,120.0,-0.1749187300053319,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,40.0,140.0,-0.22002753432418026,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,40.0,160.0,-0.27207615469208213,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,42.0,120.0,-0.3564983087843242,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,42.0,140.0,-0.43106592408691025,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,42.0,160.0,-0.5171054802052786,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,45.0,120.0,-0.6671081045054652,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,45.0,140.0,-0.7996727539322848,0.0,0.0,0.05,0.0,0.0
ExpC_Baseline,45.0,160.0,-0.9526319648093842,0.0,0.0,0.05,0.0,0.0
Candidate_A1,33.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,33.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,33.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,34.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,34.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,34.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A1,35.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
