time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/loss,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
2048,-75.07089,1,1799.0,0,2292,,,,,,,,,,,,21,Cand_B3_100k,129.335,96.6725
4096,-70.37544700000001,2,1799.0,2,1654,0.2,0.02998046875,-1.430115770548582,-0.0029028608871158,1.0227497816085815,-0.0958718061447143,0.0003,0.7218151950277388,0.004424726,10.0,0.1213811784982681,21,Cand_B3_100k,129.335,96.6725
6144,-72.28844433333335,3,1799.0,4,1519,0.2,0.00771484375,-1.4456444166600704,-0.001126653268875,1.0305726528167725,0.7136290073394775,0.0003,0.4407679296797141,0.0026363875,20.0,0.1155330911278724,21,Cand_B3_100k,129.335,96.6725
8192,-71.77651525,4,1799.0,5,1473,0.2,0.028271484375,-1.4548712614923716,-0.003571957792883,1.0419906377792358,0.7385613322257996,0.0003,0.9529143035411834,0.0031188785,30.0,0.292264461517334,21,Cand_B3_100k,129.335,96.6725
10240,-71.1153168,5,1799.0,7,1444,0.2,0.011083984375,-1.462795776873827,-0.0013432859966997,1.0445950031280518,0.8336958885192871,0.0003,0.9231021245010196,0.0026976382,40.0,0.4339163601398468,21,Cand_B3_100k,129.335,96.6725
12288,-69.202022,6,1799.0,8,1414,0.2,0.01396484375,-1.4635552991181613,-0.0012811418040655,1.0477145910263062,0.8565409183502197,0.0003,0.9576098050922156,0.0019746036,50.0,0.3115603029727936,21,Cand_B3_100k,129.335,96.6725
14336,-67.90741857142856,7,1799.0,10,1391,0.2,0.028369140625,-1.46336331628263,-0.0044522624419187,1.0432417392730713,0.8366470336914062,0.0003,1.0361438635736704,0.0028465297,60.0,0.4670479297637939,21,Cand_B3_100k,129.335,96.6725
16384,-65.46048511111111,8,1799.0,11,1379,0.2,0.006494140625,-1.4584341358393431,-0.0007185661917901,1.0367136001586914,0.8776195645332336,0.0003,1.217702811397612,0.0012374471,70.0,0.8836858868598938,21,Cand_B3_100k,129.335,96.6725
18432,-64.1681739,9,1799.0,13,1353,0.2,0.037255859375,-1.458442610129714,-0.0039853167407272,1.0395601987838743,0.8711733818054199,0.0003,0.9115795362740756,0.005978233,80.0,0.3295736312866211,21,Cand_B3_100k,129.335,96.6725
20480,-62.5471759090909,10,1799.0,15,1344,0.2,0.00791015625,-1.466250120848417,-0.0002401094607193,1.0567975044250488,0.899159848690033,0.0003,0.703964094305411,0.0010304996,90.0,0.2693176865577698,21,Cand_B3_100k,129.335,96.6725
22528,-60.870136,11,1799.0,16,1338,0.2,0.002880859375,-1.4666762337088586,-5.796595214633271e-05,1.041791319847107,0.8934102654457092,0.0003,0.6690342568326741,0.00089598226,100.0,0.3030567765235901,21,Cand_B3_100k,129.335,96.6725
24576,-59.30870307692307,12,1799.0,18,1337,0.2,0.008154296875,-1.4593774862587452,-0.0008751596957154,1.040216088294983,0.9023539423942566,0.0003,0.6054651090875268,0.0026445691,110.0,0.2218277901411056,21,Cand_B3_100k,129.335,96.6725
26624,-57.70530835714285,13,1799.0,19,1337,0.2,0.0171875,-1.451477563008666,-0.0011927164050575,1.0265495777130127,0.8874589204788208,0.0003,0.5652739068493247,0.003142063,120.0,0.2665293216705322,21,Cand_B3_100k,129.335,96.6725
