controller,seed,metric,cross_cycle_mean,cross_cycle_std,epa_udds,epa_hwfet,epa_us06,wltp_class3b
RuleBasedEMS,N/A,distance_km,15.708000000000002,5.014378276516442,10.418,16.696,12.275,23.443
RuleBasedEMS,N/A,mean_speed_kmh,56.824999999999996,20.905905266216052,27.4,78.7,74.3,46.9
RuleBasedEMS,N/A,discharge_energy_wh,2135.3175,676.7463722242993,1068.24,2216.18,2311.85,2945.0
RuleBasedEMS,N/A,regen_energy_wh,112.23750000000001,51.354277511712695,164.58,31.08,106.55,146.74
RuleBasedEMS,N/A,net_energy_wh,2023.08,691.6393166962099,903.66,2185.1,2205.3,2798.26
RuleBasedEMS,N/A,wh_per_km,129.1575,33.344657274442035,86.74,130.87,179.65,119.37
RuleBasedEMS,N/A,regen_recovery_fraction,1.0,0.0,1.0,1.0,1.0,1.0
RuleBasedEMS,N/A,min_soc,0.453575,0.015904932411047845,0.4792,0.4499,0.4497,0.4355
RuleBasedEMS,N/A,final_soc,0.45404999999999995,0.015730305146436276,0.4795,0.4504,0.4499,0.4364
RuleBasedEMS,N/A,delta_soc,0.045950000000000005,0.01573030514643629,0.0205,0.0496,0.0501,0.0636
RuleBasedEMS,N/A,max_temperature_c,25.1625,0.08642193008721841,25.04,25.13,25.27,25.21
RuleBasedEMS,N/A,avg_temperature_c,25.072499999999998,0.049686517285879105,25.02,25.08,25.15,25.04
RuleBasedEMS,N/A,total_power_deficit_wh,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,safety_interventions,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,safety_intervention_rate,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,distance_km,15.708000000000002,5.014378276516442,10.418,16.696,12.275,23.443
RuleBasedEMS,N/A,mean_speed_kmh,56.824999999999996,20.905905266216052,27.4,78.7,74.3,46.9
RuleBasedEMS,N/A,discharge_energy_wh,2135.3175,676.7463722242993,1068.24,2216.18,2311.85,2945.0
RuleBasedEMS,N/A,regen_energy_wh,112.23750000000001,51.354277511712695,164.58,31.08,106.55,146.74
RuleBasedEMS,N/A,net_energy_wh,2023.08,691.6393166962099,903.66,2185.1,2205.3,2798.26
RuleBasedEMS,N/A,wh_per_km,129.1575,33.344657274442035,86.74,130.87,179.65,119.37
RuleBasedEMS,N/A,regen_recovery_fraction,1.0,0.0,1.0,1.0,1.0,1.0
RuleBasedEMS,N/A,min_soc,0.453575,0.015904932411047845,0.4792,0.4499,0.4497,0.4355
RuleBasedEMS,N/A,final_soc,0.45404999999999995,0.015730305146436276,0.4795,0.4504,0.4499,0.4364
RuleBasedEMS,N/A,delta_soc,0.045950000000000005,0.01573030514643629,0.0205,0.0496,0.0501,0.0636
RuleBasedEMS,N/A,max_temperature_c,25.1625,0.08642193008721841,25.04,25.13,25.27,25.21
RuleBasedEMS,N/A,avg_temperature_c,25.072499999999998,0.049686517285879105,25.02,25.08,25.15,25.04
RuleBasedEMS,N/A,total_power_deficit_wh,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,safety_interventions,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,safety_intervention_rate,0.0,0.0,0.0,0.0,0.0,0.0
RuleBasedEMS,N/A,distance_km,15.708000000000002,5.014378276516442,10.418,16.696,12.275,23.443
RuleBasedEMS,N/A,mean_speed_kmh,56.824999999999996,20.905905266216052,27.4,78.7,74.3,46.9
RuleBasedEMS,N/A,discharge_energy_wh,2135.3175,676.7463722242993,1068.24,2216.18,2311.85,2945.0
RuleBasedEMS,N/A,regen_energy_wh,112.23750000000001,51.354277511712695,164.58,31.08,106.55,146.74
