time_s,speed_mps
0,0.0
1,1.3113
2,3.0754
3,4.3685
4,5.6312
5,6.8781
6,8.1248
7,9.3853
8,10.6706
9,11.9862
10,13.3321
11,14.7022
12,16.0856
13,17.4679
14,18.8332
15,20.1668
16,20.2264
17,20.2364
18,20.1966
19,20.1132
20,19.9988
21,19.8702
22,19.7474
23,19.6503
24,19.5966
25,19.5999
26,19.6674
27,19.7997
28,19.9901
29,20.226
30,20.4904
31,20.7637
32,21.0269
33,21.2632
34,21.4605
35,21.6126
36,21.7197
37,21.7879
38,21.8286
39,21.8561
40,21.8853
41,21.9131
42,21.9668
43,22.0515
44,22.1666
45,22.3056
46,22.4568
47,22.6055
48,22.7352
49,22.831
50,22.881
51,22.8784
52,22.823
53,22.7209
54,22.5848
55,22.4316
56,22.2815
57,22.1548
58,22.0696
59,22.0399
60,22.0735
61,22.1714
62,22.3276
63,22.53
64,22.762
65,23.0047
66,23.2394
67,23.4497
68,23.6238
69,23.7557
70,23.8457
71,23.8999
72,23.9295
73,23.9486
74,23.9721
75,24.0134
76,24.0822
77,24.1833
78,24.3155
79,24.4717
80,24.6398
81,24.8043
82,24.9484
83,25.0567
84,25.1168
85,25.1217
86,25.0708
87,24.9704
88,24.8326
89,24.6749
90,24.5173
91,24.3805
92,24.2828
93,24.2387
94,24.2565
95,24.3376
96,24.4765
97,24.6618
98,24.8774
99,25.105
100,25.3262
101,25.4803
102,25.6008
103,25.6818
104,25.7239
105,25.7333
106,25.7212
107,25.7015
108,25.6891
109,25.6968
110,25.7344
111,25.8059
112,25.9097
113,26.0381
114,26.1786
115,26.3151
116,26.4303
117,26.5081
118,26.5359
119,26.5061
120,26.4179
121,26.2772
122,26.0962
123,25.8922
124,25.6852
125,25.496
126,25.3434
127,25.242
128,25.2006
129,25.221
130,25.2984
131,25.4216
132,25.5753
133,25.7417
134,25.9029
135,26.0436
136,26.1527
137,26.2249
138,26.2608
139,26.2672
140,26.2551
141,26.2385
142,26.2321
143,26.2487
144,26.2976
145,26.3826
146,26.5015
147,26.6464
148,26.804
149,26.8224
150,26.8224
151,26.8224
152,26.8224
153,26.8224
154,26.8224
155,26.8224
156,26.8205
157,26.618
158,26.4095
159,26.2157
160,26.0557
161,25.9442
162,25.8902
163,25.8963
164,25.9578
165,26.0642
166,26.2007
167,26.35
168,26.4948
169,26.6203
170,26.7159
171,26.6797
172,26.6099
173,26.5132
174,26.401
175,26.2874
176,26.1871
177,26.1128
178,26.0735
179,26.0728
180,26.1082
181,26.1713
182,26.2483
183,26.322
184,26.3743
185,26.3878
186,26.3488
187,26.2489
188,26.0863
189,25.8662
190,25.6003
191,25.3053
192,25.0013
193,24.709
194,24.4474
195,24.2314
196,24.0703
197,23.9669
198,23.917
199,23.9106
200,23.9333
201,23.9683
202,23.999
203,24.0111
204,23.9946
205,23.945
206,23.8637
207,23.7582
208,23.6399
209,23.5233
210,23.423
