time_s,speed_mps
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.3353
22,0.6706
23,1.0058
24,1.3411
25,1.6764
26,2.0117
27,2.7894
28,3.1247
29,3.4242
30,3.6907
31,3.9298
32,4.1493
33,4.3586
34,4.568
35,4.7875
36,5.0266
37,5.2931
38,5.5926
39,5.9278
40,6.299
41,6.5168
42,6.7619
43,7.0267
44,7.3017
45,7.5766
46,7.8414
47,8.0865
48,8.3043
49,8.4892
50,8.6382
51,8.7514
52,8.8316
53,8.8845
54,8.9177
55,8.9408
56,8.9639
57,8.9971
58,9.05
59,9.1302
60,9.2434
61,9.3924
62,9.5773
63,9.7951
64,10.0402
65,10.305
66,10.5799
67,10.8549
68,11.1197
69,11.3648
70,11.5826
71,11.246
72,10.8734
73,10.465
74,10.0237
75,9.555
76,9.0667
77,8.5683
78,8.0698
79,7.5815
80,7.1128
81,6.6715
82,6.2631
83,5.8906
84,5.5539
85,5.2501
86,4.9738
87,4.717
88,4.4704
89,4.2238
90,3.967
91,3.6907
92,3.3869
93,3.0502
94,2.2352
95,1.8627
96,1.4901
97,1.1176
98,0.7451
99,0.3725
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.3576
127,0.7153
128,1.0729
129,1.4305
130,1.7882
131,2.1458
132,2.5034
133,2.987
134,3.4604
135,3.9142
136,4.3406
137,4.7341
138,5.0917
139,5.4135
140,5.7023
141,5.9638
142,6.2057
143,6.4374
144,6.6691
145,6.911
146,7.1724
147,7.4613
148,7.783
149,8.1407
150,8.5342
151,8.8265
152,9.1462
153,9.4854
154,9.8349
155,10.1843
156,10.5236
157,10.8433
158,11.1356
159,11.395
160,11.6185
161,11.8062
162,11.9609
163,12.0882
164,12.196
165,12.2936
166,12.3912
167,12.499
168,12.6263
169,12.781
170,12.9687
171,12.5217
172,12.1105
173,11.7322
174,11.3814
175,11.0501
176,10.729
177,10.4079
178,10.0766
179,9.7257
180,9.3474
181,8.9362
182,8.4892
183,8.0063
184,7.4905
185,6.9473
186,6.3845
187,5.8115
188,5.2385
189,4.6758
190,4.1325
191,3.6167
192,3.1338
193,2.6868
194,2.2756
195,2.2352
196,1.7882
197,1.3411
198,0.8941
199,0.447
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.3912
232,0.7823
233,1.1735
234,1.5646
235,1.9558
236,1.9045
237,2.2956
238,2.7226
239,3.1826
240,3.6699
241,4.1768
242,4.6939
243,5.211
244,5.7179
245,6.2053
246,6.6652
247,7.0922
248,7.4834
249,7.8387
250,8.1611
251,8.456
252,8.7315
253,8.9967
254,9.2619
255,9.5373
256,9.8323
257,10.1547
258,10.51
259,10.9012
260,11.3282
261,11.7881
262,12.2754
263,12.7823
264,13.2994
265,13.8165
266,14.3234
267,14.8108
268,15.2707
269,15.6977
270,16.0889
271,16.1648
272,16.2078
273,16.2234
274,16.2194
275,16.2052
276,16.191
277,16.187
278,16.2026
279,16.2456
280,16.3215
281,16.4333
282,16.5809
283,16.7614
284,16.9694
285,17.1969
286,17.4346
287,17.6723
288,17.8998
289,18.1077
290,18.2882
291,18.4358
292,18.5476
293,18.6235
294,18.6665
295,18.6821
296,18.6781
297,18.6639
298,18.6497
299,18.6458
300,18.6613
301,18.7043
302,18.7802
303,18.892
304,19.0396
305,19.2201
306,19.4281
307,19.6556
308,19.8933
309,20.131
310,20.3585
311,20.5854
312,20.785
313,20.9516
314,21.0823
315,21.1772
316,21.2392
317,21.2738
318,21.2888
319,21.2936
320,21.2984
321,21.3135
322,21.3481
323,21.41
324,21.5049
325,21.6357
326,21.8023
327,22.0019
328,22.2288
329,22.4753
330,22.732
331,22.9887
332,23.2352
333,23.4621
334,23.6617
335,23.8283
336,23.959
337,24.0539
338,24.1159
339,24.1505
340,24.1655
341,24.1703
342,24.1751
343,24.1902
344,24.2248
345,24.2867
346,24.3816
347,24.5124
348,24.679
349,24.8786
350,25.1055
351,24.9228
352,24.7504
353,24.5779
354,24.3953
355,24.193
356,23.9634
357,23.7009
358,23.4025
359,23.0682
360,22.701
361,22.3065
362,21.8923
363,21.468
364,21.0436
365,20.6295
366,20.2349
367,19.8677
368,19.5335
369,19.2351
370,18.9725
371,18.7429
372,18.5407
373,18.358
374,18.1856
375,18.0131
376,17.8305
377,17.6282
378,17.3986
379,17.1361
380,16.8377
381,16.5034
382,16.1362
383,15.7417
384,15.3275
385,14.9032
386,14.4789
387,14.0647
388,13.6701
389,13.303
390,12.9687
391,12.6334
392,12.334
393,12.0675
394,11.8284
395,11.6089
396,11.3995
397,11.1902
398,10.9706
399,10.7315
400,10.465
401,10.1656
402,9.8303
403,9.4592
404,9.0551
405,8.6237
406,8.1727
407,7.7114
408,7.2502
409,6.7992
410,6.3677
411,5.9637
412,5.5926
413,5.2573
414,4.9578
415,4.6913
416,4.4522
417,4.2327
418,4.0234
419,3.814
420,3.5945
421,3.3554
422,3.0889
423,2.7894
424,2.0117
425,1.6764
426,1.3411
427,1.0058
428,0.6706
429,0.3353
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.3193
472,0.6386
473,0.9579
474,1.2773
475,1.5966
476,1.9159
477,2.2352
478,2.112
479,2.4313
480,2.7865
481,3.1746
482,3.5901
483,4.0251
484,4.4704
485,4.9157
486,5.3507
487,5.7662
488,6.1543
489,6.5095
490,6.8288
491,7.1122
492,7.3628
493,7.5859
494,7.7895
495,7.9829
496,8.1762
497,8.3798
498,8.6029
499,8.8535
500,9.1369
501,9.4563
502,9.8114
503,10.1995
504,10.615
505,11.0501
506,11.3037
507,11.5574
508,11.8009
509,12.0248
510,12.2213
511,12.3848
