time_s,speed_mps
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.5748
27,1.1495
28,1.7243
29,2.0263
30,2.8738
31,3.7213
32,4.5217
33,5.2359
34,5.8398
35,6.3284
36,6.7166
37,7.0366
38,7.3325
39,7.6526
40,8.0408
41,8.5294
42,9.1333
43,9.8475
44,10.6478
45,11.4953
46,12.3428
47,13.1432
48,13.8574
49,14.4613
50,14.9499
51,15.3381
52,15.6581
53,15.954
54,16.2741
55,16.6622
56,17.1509
57,17.7548
58,18.4689
59,19.2693
60,20.1168
61,20.5386
62,20.9131
63,21.2016
64,21.3797
65,21.4426
66,21.405
67,21.2993
68,21.1695
69,21.0638
70,21.0262
71,21.0891
72,21.2672
73,21.5557
74,21.9302
75,22.352
76,22.7738
77,23.1483
78,23.4368
79,23.6149
80,23.6778
81,23.6402
82,23.5345
83,23.4047
84,23.299
85,23.2614
86,23.3243
87,23.5024
88,23.7909
89,24.1654
90,24.5872
91,24.2453
92,23.8562
93,23.3809
94,22.7954
95,22.0945
96,21.2933
97,20.4239
98,19.5303
99,18.6609
100,17.8597
101,17.1588
102,16.5733
103,16.098
104,15.7089
105,15.367
106,15.0251
107,14.636
108,14.1607
109,13.5752
110,12.8743
111,12.0731
112,11.2037
113,10.3101
114,9.4407
115,8.6395
116,7.9386
117,7.3531
118,6.8778
119,6.4887
120,6.1468
121,5.8049
122,5.4158
123,4.9405
124,4.355
125,3.6541
126,2.8529
127,1.844
128,1.2294
129,0.6147
130,0.0
131,0.6706
132,1.3411
133,2.0117
134,2.4095
135,3.3528
136,4.2961
137,5.1922
138,6.0022
139,6.7019
140,7.2863
141,7.7703
142,8.1861
143,8.5779
144,8.9937
145,9.4777
146,10.0621
147,10.7618
148,11.5718
149,12.4679
150,13.4112
151,14.3545
152,15.2506
153,16.0606
154,16.7603
155,17.3447
156,17.8287
157,18.2445
158,18.6363
159,19.0521
160,19.5361
161,20.1205
162,20.8202
163,21.6302
164,22.5263
165,23.4696
166,24.4129
167,25.309
168,26.119
169,26.8187
170,27.4031
171,27.398
172,27.3248
173,27.2275
174,27.1542
175,27.1492
176,27.2445
177,27.4551
178,27.7761
179,28.1831
180,28.6374
181,29.0916
182,29.4987
183,29.8196
184,30.0303
185,30.1256
186,30.1205
187,30.0473
188,29.95
189,29.8767
190,29.8716
191,29.967
192,30.1776
193,30.4985
194,30.9056
195,31.3599
196,31.8141
197,32.2212
198,32.5421
199,32.7527
200,32.8481
201,32.843
202,32.7698
203,32.6724
204,32.5992
205,32.5941
206,32.6895
207,32.9001
208,33.221
209,33.6281
210,34.0823
211,34.5366
212,34.9436
213,35.2646
214,35.4752
215,35.5705
216,35.5655
217,35.4922
218,35.3949
219,35.3217
220,35.3166
221,35.1909
222,35.1806
223,35.2805
224,35.4666
225,35.6999
226,35.8973
227,35.8973
228,35.8973
229,35.8973
230,35.8973
231,35.8571
232,35.5629
233,35.2445
234,34.9503
235,34.7243
236,34.5986
237,34.5883
238,34.6882
239,34.8743
240,35.1075
241,35.3408
242,35.5269
243,35.6268
244,35.6165
245,35.4908
246,35.2648
247,34.9705
248,34.6522
249,34.358
250,34.1319
251,34.0063
252,33.9959
253,34.0959
254,34.282
255,34.5152
256,34.7485
257,34.9346
258,35.0345
259,35.0241
260,34.8985
261,34.6724
262,34.3782
263,34.0599
264,33.7657
265,33.5396
266,33.414
267,33.4036
268,33.5035
269,33.6896
270,33.9229
271,34.1561
272,34.3422
273,34.4422
274,34.4318
275,34.3062
276,34.0801
277,33.7859
278,33.4676
279,33.1733
280,32.9473
281,32.7973
282,32.7625
283,32.8381
284,32.9998
285,33.2087
286,33.4176
287,33.5793
288,33.6548
289,33.6201
290,33.4701
291,33.2197
292,32.9011
293,32.5584
294,32.2398
295,31.9893
296,31.8393
297,31.8046
298,31.8801
299,32.0419
300,32.2507
301,32.4596
302,32.6213
303,32.6969
304,32.6622
305,32.5122
306,32.2617
307,31.9431
308,31.6004
309,31.2818
310,31.0314
311,30.8814
312,30.8466
313,30.9222
314,31.0839
315,31.2928
316,31.5017
317,31.6634
318,31.739
319,31.7042
320,31.5542
321,31.3038
322,30.9852
323,30.6425
324,30.3239
325,30.0734
326,29.9234
327,29.8887
328,29.9643
329,30.126
330,30.3349
331,30.5437
332,30.7055
333,30.781
334,30.7463
335,30.5963
336,30.3458
337,30.0272
338,29.6845
339,29.3659
340,29.1155
341,28.9655
342,28.9308
343,29.0063
344,29.168
345,29.3769
346,29.5858
347,29.7475
348,29.8231
349,29.7883
350,29.6383
351,29.4837
352,29.2609
353,29.014
354,28.7912
355,28.6365
356,28.5823
357,28.6434
358,28.8147
359,29.0722
360,29.3769
361,29.6816
362,29.9391
363,30.1104
364,30.1715
365,30.1173
366,29.9626
367,29.7399
368,29.4929
369,29.2702
370,29.1155
371,29.0613
372,29.1224
373,29.2937
374,29.5512
375,29.8559
376,30.1606
377,30.4181
378,30.5894
379,30.6505
380,30.5963
381,30.4416
382,30.2188
383,29.9719
384,29.7491
385,29.5945
386,29.5402
387,29.6013
388,29.7727
389,30.0302
390,30.3349
391,30.6395
392,30.897
393,31.0684
394,31.1295
395,31.0752
396,30.9206
397,30.6978
398,30.4509
399,30.2281
400,30.0734
401,30.0192
402,30.0803
403,30.2516
404,30.5092
405,30.8138
406,31.1185
407,31.376
408,31.5474
409,31.6084
410,31.5542
411,31.3996
412,31.1768
413,30.9299
414,30.7071
415,30.5524
416,30.4982
417,30.5593
418,30.7306
419,30.9881
420,31.2928
421,31.342
422,31.3441
423,31.26
424,31.0656
425,30.7559
426,30.3458
427,29.8676
428,29.3652
429,28.887
430,28.4769
431,28.1672
432,27.9728
433,27.8887
434,27.8908
435,27.94
436,27.9892
437,27.9913
438,27.9072
439,27.7128
440,27.4031
441,26.993
442,26.5148
443,26.0124
444,25.5342
445,25.1241
446,24.8144
447,24.62
448,24.5359
449,24.538
450,24.5872
451,24.6364
452,24.6385
453,24.5544
454,24.36
455,24.0503
456,23.6402
457,23.162
458,22.6596
459,22.1814
460,21.7713
461,21.4616
462,21.2672
463,21.1831
464,21.1852
465,21.2344
466,21.2836
467,21.2857
468,21.2016
469,21.0072
470,20.6975
471,20.2874
472,19.8092
473,19.3068
474,18.8286
475,18.4185
476,18.1088
477,17.9144
478,17.8303
479,17.8324
480,17.8816
481,17.9308
482,17.9329
483,17.8488
484,17.6544
485,17.3447
486,16.9346
487,16.4564
488,15.954
489,15.4758
490,15.0657
491,14.756
492,14.5616
493,14.4775
494,14.4796
495,14.5288
496,14.578
497,14.5801
498,14.496
