time_s,speed_mps
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.1389
32,0.2778
33,0.4167
34,0.5556
35,0.6944
36,0.8333
37,0.9722
38,1.1111
39,1.25
40,1.3889
41,1.3137
42,1.4153
43,1.5327
44,1.6672
45,1.8192
46,1.9877
47,2.171
48,2.3662
49,2.5698
50,2.7778
51,2.9857
52,3.1894
53,3.3846
54,3.5679
55,3.7364
56,3.8883
57,4.0229
58,4.1402
59,4.2418
60,4.3299
61,4.4078
62,4.4793
63,4.5485
64,4.62
65,4.6978
66,4.786
67,4.8875
68,5.0049
69,5.1394
70,5.2914
71,5.4599
72,5.6432
73,5.8384
74,6.042
75,6.25
76,6.458
77,6.6616
78,6.8568
79,7.0401
80,7.2086
81,7.3328
82,7.4395
83,7.5291
84,7.6029
85,7.6633
86,7.7134
87,7.757
88,7.7985
89,7.8422
90,7.8923
91,7.9526
92,8.0264
93,8.116
94,8.2228
95,8.3469
96,8.4877
97,8.6432
98,8.8106
99,8.9865
100,9.1667
101,9.3469
102,9.5227
103,9.6902
104,9.8456
105,9.9864
106,10.1106
107,10.2173
108,10.3069
109,10.3807
110,10.4411
111,10.4911
112,10.5348
113,10.5763
114,10.62
115,10.6701
116,10.7304
117,10.8042
118,10.8938
119,11.0005
120,11.1247
121,11.2655
122,11.421
123,11.5884
124,11.7643
125,11.9444
126,12.1246
127,12.3005
128,12.4679
129,12.6234
130,12.7642
131,12.5272
132,12.2729
133,12.0013
134,11.714
135,11.4133
136,11.1023
137,10.7848
138,10.4652
139,10.1477
140,9.8367
141,9.536
142,9.2487
143,8.9771
144,8.7228
145,8.4858
146,8.2655
147,8.0598
148,7.8662
149,7.6809
150,7.5
151,7.3191
152,7.1338
153,6.9402
154,6.7345
155,6.5142
156,6.2772
157,6.0229
158,5.7513
159,5.464
160,5.1633
161,4.8523
162,4.5348
163,4.2152
164,3.8977
165,3.5867
166,3.286
167,2.9987
168,2.7271
169,2.4728
170,2.2358
171,2.0155
172,1.8098
173,1.6162
174,1.4309
175,1.25
176,1.0
177,0.75
178,0.5
179,0.25
180,0.0
181,0.1389
182,0.2778
183,0.4167
184,0.5556
185,0.6944
186,0.8333
187,0.9722
188,1.1111
189,1.25
190,1.3889
191,1.3137
192,1.4153
193,1.5327
194,1.6672
195,1.8192
196,1.9877
197,2.171
198,2.3662
199,2.5698
200,2.7778
201,2.9857
202,3.1894
203,3.3846
204,3.5679
205,3.7364
206,3.8883
207,4.0229
208,4.1402
209,4.2418
210,4.3299
211,4.4078
212,4.4793
213,4.5485
214,4.62
215,4.6978
216,4.786
217,4.8875
218,5.0049
219,5.1394
220,5.2914
221,5.4599
222,5.6432
223,5.8384
224,6.042
225,6.25
226,6.458
227,6.6616
228,6.8568
229,7.0401
230,7.2086
231,7.3606
232,7.4951
233,7.6125
234,7.714
235,7.8022
236,7.88
237,7.9515
238,8.0207
239,8.0922
240,8.1701
241,8.2119
242,8.2672
243,8.3383
244,8.4265
245,8.5321
246,8.6544
247,8.7913
248,8.9403
249,9.0976
250,9.2593
251,9.4209
252,9.5783
253,9.7272
254,9.8642
255,9.9864
256,10.092
257,10.1803
258,10.2513
259,10.3066
260,10.3485
261,10.38
262,10.4052
263,10.4281
264,10.4533
265,10.4849
266,10.5267
267,10.582
268,10.6531
269,10.7413
270,10.8469
271,10.9692
272,11.1061
273,11.2551
274,11.4124
275,11.5741
276,11.7357
277,11.8931
278,12.042
279,12.179
280,12.3012
281,12.4069
282,12.4951
283,12.5662
284,12.6214
285,12.6633
286,12.6948
287,12.72
288,12.743
289,12.7681
290,12.7997
291,12.8415
292,12.8968
293,12.9679
294,13.0561
295,13.1617
296,13.284
297,13.421
298,13.5699
299,13.7272
300,13.8889
301,13.7265
302,13.5597
303,13.3846
304,13.1975
305,12.9957
306,12.7772
307,12.5414
308,12.2884
309,12.0196
310,11.7373
311,11.4448
312,11.1459
313,10.8448
314,10.5459
315,10.2534
316,9.9712
317,9.7024
318,9.4494
319,9.2135
320,8.9951
321,8.7932
322,8.6061
323,8.431
324,8.2643
325,8.1019
326,7.9395
327,7.7727
328,7.5976
329,7.4105
330,7.2086
331,6.9902
332,6.7543
333,6.5013
334,6.2325
335,5.9503
336,5.6578
337,5.3589
338,5.0578
339,4.7589
340,4.4664
341,4.1841
342,3.9153
343,3.6623
344,3.4265
345,3.208
346,3.0062
347,2.8191
348,2.644
349,2.4772
350,2.3148
351,2.1524
352,1.9857
353,1.8105
354,1.3889
355,1.1574
356,0.9259
357,0.6944
358,0.463
359,0.2315
360,0.0
361,0.0926
362,0.1852
363,0.2778
364,0.3704
365,0.463
366,0.5556
367,0.6481
368,0.7407
369,0.8333
370,0.9259
371,1.0185
372,1.1111
373,1.2037
374,1.2963
375,1.3889
376,1.5506
377,1.7079
378,1.8568
379,1.9938
380,2.116
381,2.2217
382,2.3099
383,2.381
384,2.4363
385,2.4781
386,2.5097
387,2.5348
388,2.5578
389,2.5829
390,2.6145
391,2.6563
392,2.7116
393,2.7827
394,2.8709
395,2.9766
396,3.0988
397,3.2358
398,3.3847
399,3.542
400,3.7037
401,3.8654
402,4.0227
403,4.1716
404,4.3086
405,4.4308
406,4.5365
407,4.6247
408,4.6958
409,4.7511
410,4.7929
411,4.8245
412,4.8496
413,4.8726
414,4.8977
415,4.9293
416,4.9712
417,5.0264
418,5.0975
419,5.1857
420,5.2914
421,5.4136
422,5.5506
423,5.6995
424,5.8568
425,6.0185
426,6.1802
427,6.3375
428,6.4864
429,6.6234
430,6.7457
431,6.8513
432,6.9395
433,7.0106
434,7.0659
435,7.1077
436,7.1393
437,7.1644
438,7.1874
439,7.2126
440,7.2441
441,7.286
442,7.3413
443,7.4123
444,7.5005
445,7.6062
446,7.7284
447,7.8654
448,8.0143
449,8.1717
450,8.3333
451,8.495
452,8.6523
453,8.8013
454,8.9382
455,9.0605
456,9.1661
457,9.2543
458,9.3254
459,9.3807
460,9.4225
461,9.4541
462,9.4793
463,9.5022
464,9.5274
465,9.5589
466,9.6008
467,9.6561
468,9.7271
469,9.8154
470,9.921
471,10.0432
472,10.1802
473,10.3291
474,10.4865
475,10.6481
476,10.8098
477,10.9672
478,11.1161
479,11.2531
480,11.3753
481,11.4647
482,11.5367
483,11.5916
484,11.6307
485,11.6563
486,11.6717
487,11.6806
488,11.6874
489,11.6964
490,11.7117
491,11.7374
492,11.7764
493,11.8313
494,11.9033
495,11.9928
496,12.0988
497,12.2196
498,12.3523
499,12.4934
500,12.6389
